codi_districte,codi_barri,numero_expedient,Altres,Avançament defectuós/improcedent,Canvi de carril sense precaució,Desconegut,Desobeir altres senyals,Desobeir semàfor,Envair calçada contrària,Fallada mecànica o avaria,Gir indegut o sense precaució,Manca precaució efectuar marxa enrera,Manca precaució incorporació circulació,No determinada,No respectar distàncies,Manca de atenció a la conducció,No respectat pas de vianants,Dijous,Dilluns,Dimarts,Dimecres,Dissabte,Diumenge,Divendres,Matí,Nit,Tarda
9,62,38,5,2,1,4,6,0,1,0,2,1,1,5,1,7,2,7,7,5,8,4,3,4,16,2,20
9,63,65,13,1,3,5,2,7,1,0,3,4,0,5,5,12,3,7,14,9,15,5,5,10,20,8,37
10,64,191,21,5,14,12,13,17,0,0,26,3,9,17,20,28,3,34,26,39,27,23,13,29,88,12,91
10,65,154,18,3,8,15,6,30,0,0,20,3,3,8,13,26,1,32,23,24,21,17,14,23,61,18,75
10,66,206,35,6,11,13,12,27,0,0,14,6,7,17,20,29,8,37,32,44,23,29,15,26,93,20,93
10,67,124,21,6,11,12,11,4,1,0,5,2,4,7,12,23,4,16,9,22,25,19,10,23,44,17,63
10,68,180,20,3,15,20,11,17,1,0,9,3,5,13,22,34,4,28,28,30,31,17,19,27,79,20,81
10,69,139,19,3,15,6,9,11,0,0,9,3,6,11,14,28,2,20,22,21,23,18,13,22,54,13,72
10,70,103,17,5,2,8,6,17,0,0,7,1,2,5,6,18,7,7,17,11,19,14,14,21,46,12,45
10,71,156,17,6,6,10,6,33,1,1,12,1,1,9,11,29,6,32,29,21,19,14,16,25,75,14,67
10,72,87,15,1,8,7,2,8,0,0,9,4,4,4,8,15,1,6,12,8,19,9,7,26,41,8,38
10,73,78,12,1,2,8,6,10,0,0,8,3,4,6,4,11,2,16,5,12,10,13,10,12,30,12,36
